Date : 2025-11-02 16:46:58
Directory : c:\webdevelopment\Biscript\biscript
Total : 458 files,  22285 codes, 722 comments, 2341 blanks, all 25348 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\webdevelopment\Biscript\biscript\piston\packages\lolcode\0.11.2\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.2\build.sh                  | Shell Script       |          7 |          5 |          3 |         15 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.2\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.2\test.lua                  | Lua                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.4\build.sh                  | Shell Script       |          7 |          5 |          2 |         14 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.4\metadata.json             | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lua\5.4.4\test.lua                  | Lua                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\mono\6.12.0\build.sh                | Shell Script       |         18 |          4 |         11 |         33 |
| c:\webdevelopment\Biscript\biscript\piston\packages\mono\6.12.0\metadata.json           | JSON               |         20 |          0 |          1 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\mono\6.12.0\test.cs                 | C#                 |          8 |          0 |          1 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\packages\mono\6.12.0\test.vb                 | Visual Basic       |          6 |          0 |          4 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nasm\2.15.5\build.sh                | Shell Script       |         10 |          3 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nasm\2.15.5\metadata.json           | JSON               |         14 |          0 |          1 |         15 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nim\1.4.4\build.sh                  | Shell Script       |          9 |          2 |          8 |         19 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nim\1.4.4\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nim\1.6.2\build.sh                  | Shell Script       |          9 |          2 |          7 |         18 |
| c:\webdevelopment\Biscript\biscript\piston\packages\nim\1.6.2\metadata.json             | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\15.10.0\build.sh               | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\15.10.0\metadata.json          | JSON               |         10 |          0 |          1 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\15.10.0\test.js                | JavaScript         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\16.3.0\build.sh                | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\16.3.0\metadata.json           | JSON               |         10 |          0 |          1 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\16.3.0\test.js                 | JavaScript         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\18.15.0\build.sh               | Shell Script       |          3 |          1 |          0 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\18.15.0\metadata.json          | JSON               |         10 |          0 |          0 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\18.15.0\test.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\20.11.1\build.sh               | Shell Script       |          3 |          1 |          0 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\20.11.1\metadata.json          | JSON               |         10 |          0 |          0 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\node\20.11.1\test.js                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ocaml\4.12.0\build.sh               | Shell Script       |         11 |          1 |          6 |         18 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ocaml\4.12.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\octave\6.2.0\build.sh               | Shell Script       |         10 |          4 |          9 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\octave\6.2.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\octave\8.1.0\build.sh               | Shell Script       |         10 |          4 |          8 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\octave\8.1.0\metadata.json          | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\osabie\1.0.1\build.sh               | Shell Script       |         13 |          1 |         10 |         24 |
| c:\webdevelopment\Biscript\biscript\piston\packages\osabie\1.0.1\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\paradoc\0.6.0\build.sh              | Shell Script       |          2 |          1 |          3 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\paradoc\0.6.0\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pascal\3.2.0\build.sh               | Shell Script       |         15 |          4 |          7 |         26 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pascal\3.2.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pascal\3.2.2\build.sh               | Shell Script       |         15 |          4 |          6 |         25 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pascal\3.2.2\metadata.json          | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.26.1\build.sh                | Shell Script       |         10 |          1 |          9 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.26.1\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.26.1\test.pl                 | Perl               |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.36.0\build.sh                | Shell Script       |         10 |          1 |          7 |         18 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.36.0\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\perl\5.36.0\test.pl                 | Perl               |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.0.2\build.sh                  | Shell Script       |         11 |          1 |          9 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.0.2\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.0.2\test.php                  | PHP                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.2.3\build.sh                  | Shell Script       |         11 |          1 |          8 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.2.3\metadata.json             | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\php\8.2.3\test.php                  | PHP                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ponylang\0.39.0\build.sh            | Shell Script       |         11 |          9 |          8 |         28 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ponylang\0.39.0\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\prolog\8.2.4\build.sh               | Shell Script       |         13 |          2 |          8 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\prolog\8.2.4\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pure\0.68.0\build.sh                | Shell Script       |         19 |          7 |          8 |         34 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pure\0.68.0\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pwsh\7.1.4\build.sh                 | Shell Script       |          4 |          1 |          2 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pwsh\7.1.4\metadata.json            | JSON               |         10 |          0 |          1 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pwsh\7.1.4\test.ps1                 | PowerShell         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pyth\1.0.0\build.sh                 | Shell Script       |          2 |          2 |          3 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\pyth\1.0.0\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\2.7.18\build.sh              | Shell Script       |         13 |          2 |          9 |         24 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\2.7.18\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\2.7.18\test.py               | Python             |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0-alpha.7\build.sh      | Shell Script       |         11 |          3 |          9 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0-alpha.7\metadata.json | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0-alpha.7\test.py       | Python             |          6 |          0 |          1 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0\build.sh              | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.10.0\test.py               | Python             |          6 |          0 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.11.0\build.sh              | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.11.0\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.11.0\test.py               | Python             |          6 |          0 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.12.0\build.sh              | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.12.0\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.12.0\test.py               | Python             |          6 |          0 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.5.10\build.sh              | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.5.10\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.5.10\test.py               | Python             |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.1\build.sh               | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.1\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.1\test.py                | Python             |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.4\build.sh               | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.4\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\python\3.9.4\test.py                | Python             |         10 |          0 |          9 |         19 |
| c:\webdevelopment\Biscript\biscript\piston\packages\racket\8.3.0\build.sh               | Shell Script       |          4 |          3 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\racket\8.3.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\raku\6.100.0\build.sh               | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\raku\6.100.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\raku\6.100.0\test.raku              | Raku               |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\retina\1.2.0\build.sh               | Shell Script       |         11 |          5 |          6 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\retina\1.2.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rockstar\1.0.0\build.sh             | Shell Script       |          4 |          4 |          4 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rockstar\1.0.0\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rscript\4.1.1\build.sh              | Shell Script       |         10 |          1 |          6 |         17 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rscript\4.1.1\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rscript\4.1.1\test.r                | R                  |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\2.5.1\build.sh                 | Shell Script       |         11 |          1 |          9 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\2.5.1\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\2.5.1\test.rb                  | Ruby               |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\3.0.1\build.sh                 | Shell Script       |         11 |          4 |          7 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\3.0.1\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\ruby\3.0.1\test.rb                  | Ruby               |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.50.0\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.50.0\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.50.0\test.rs                 | Rust               |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.56.1\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.56.1\metadata.json           | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.56.1\test.rs                 | Rust               |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.62.0\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.62.0\metadata.json           | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.62.0\test.rs                 | Rust               |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.63.0\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.63.0\metadata.json           | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.63.0\test.rs                 | Rust               |          5 |          1 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.65.0\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.65.0\metadata.json           | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.65.0\test.rs                 | Rust               |          6 |          1 |          2 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.68.2\build.sh                | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.68.2\metadata.json           | JSON               |          7 |          0 |          0 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\rust\1.68.2\test.rs                 | Rust               |          3 |          0 |          0 |          3 |
| c:\webdevelopment\Biscript\biscript\piston\packages\samarium\0.3.1\build.sh             | Shell Script       |          2 |          1 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\samarium\0.3.1\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\scala\3.0.0\build.sh                | Shell Script       |          6 |          3 |          3 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\packages\scala\3.0.0\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\scala\3.2.2\build.sh                | Shell Script       |          6 |          3 |          2 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\scala\3.2.2\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\smalltalk\3.2.3\build.sh            | Shell Script       |         11 |          1 |          8 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\smalltalk\3.2.3\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\sqlite3\3.36.0\build.sh             | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\sqlite3\3.36.0\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\sqlite3\3.36.0\test.sql             | MS SQL             |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\swift\5.3.3\build.sh                | Shell Script       |          3 |          2 |          2 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\swift\5.3.3\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\swift\5.3.3\test.swift              | Swift              |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\test.sh                             | Shell Script       |         13 |          2 |          7 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\4.2.3\build.sh           | Shell Script       |          3 |          1 |          4 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\4.2.3\metadata.json      | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\4.2.3\test.ts            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\5.0.3\build.sh           | Shell Script       |          3 |          1 |          3 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\5.0.3\metadata.json      | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\typescript\5.0.3\test.ts            | TypeScript         |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vlang\0.1.13\build.sh               | Shell Script       |          3 |          3 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vlang\0.1.13\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vlang\0.3.3\build.sh                | Shell Script       |          3 |          3 |          2 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vlang\0.3.3\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vyxal\2.4.1\build.sh                | Shell Script       |          8 |          5 |          5 |         18 |
| c:\webdevelopment\Biscript\biscript\piston\packages\vyxal\2.4.1\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\yeethon\3.10.0\build.sh             | Shell Script       |          9 |          6 |          8 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\yeethon\3.10.0\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\yeethon\3.10.0\test.yeethon.py      | Python             |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.10.1\build.sh                 | Shell Script       |          6 |          1 |          3 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.10.1\metadata.json            | JSON               |          9 |          0 |          1 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.7.1\build.sh                  | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.7.1\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.8.0\build.sh                  | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.8.0\metadata.json             | JSON               |          9 |          0 |          1 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.9.1\build.sh                  | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\zig\0.9.1\metadata.json             | JSON               |          9 |          0 |          1 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\readme.md                                    | Markdown           |        383 |          0 |         98 |        481 |
| c:\webdevelopment\Biscript\biscript\piston\repo\.dockerignore                           | Ignore             |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\repo\Dockerfile                              | Docker             |         18 |          0 |          3 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\repo\entrypoint.sh                           | Shell Script       |         51 |          1 |          9 |         61 |
| c:\webdevelopment\Biscript\biscript\piston\repo\mkindex.sh                              | Shell Script       |         15 |          0 |          8 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\repo\serve.py                                | Python             |         12 |          0 |          7 |         19 |
| c:\webdevelopment\Biscript\biscript\piston\test.py                                      | Python             |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\tests\fallocate.py                           | Python             |          3 |          8 |          1 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\tests\file_persistance.py                    | Python             |         14 |          8 |          3 |         25 |
| c:\webdevelopment\Biscript\biscript\piston\tests\fork.py                                | Python             |          6 |          0 |          0 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\tests\multi_request.py                       | Python             |         31 |         12 |          6 |         49 |
| c:\webdevelopment\Biscript\biscript\piston\tests\network.py                             | Python             |          2 |          5 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\tests\readme.md                              | Markdown           |          5 |          0 |          5 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\tests\runaway_output.py                      | Python             |          2 |          0 |          0 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\var\docs\images\em.svg                       | XML                |         31 |          1 |          1 |         33 |
| c:\webdevelopment\Biscript\biscript\piston\var\docs\images\piston.svg                   | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\postcss.config.mjs                                  | JavaScript         |          4 |          0 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\public\apple.svg                                    | XML                |         12 |          0 |          0 |         12 |
| c:\webdevelopment\Biscript\biscript\public\battery.svg                                  | XML                |         12 |          0 |          0 |         12 |
| c:\webdevelopment\Biscript\biscript\public\cat.svg                                      | XML                |         81 |          7 |          7 |         95 |
| c:\webdevelopment\Biscript\biscript\public\control.svg                                  | XML                |         12 |          0 |          0 |         12 |
| c:\webdevelopment\Biscript\biscript\public\css.svg                                      | XML                |          9 |          0 |          0 |          9 |
| c:\webdevelopment\Biscript\biscript\public\file.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\public\globe.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\public\green.svg                                    | XML                |          9 |          0 |          0 |          9 |
| c:\webdevelopment\Biscript\biscript\public\next.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\public\red.svg                                      | XML                |          9 |          0 |          0 |          9 |
| c:\webdevelopment\Biscript\biscript\public\search.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\public\vercel.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\public\wifi.svg                                     | XML                |         12 |          0 |          0 |         12 |
| c:\webdevelopment\Biscript\biscript\public\window.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\public\yellow.svg                                   | XML                |          9 |          0 |          0 |          9 |
| c:\webdevelopment\Biscript\biscript\server.js                                           | JavaScript         |         18 |          3 |         10 |         31 |
| c:\webdevelopment\Biscript\biscript\tailwind.config.js                                  | JavaScript         |         10 |          1 |          1 |         12 |
| Total                                                                                   |                    |     22,285 |        722 |      2,341 |     25,348 |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
